Nombre,Encargada punto,Descanso,Cantidad Días Descanso,Incapacidad,Cantidad Días Incapacidad,Vacaciones,Cantidad de días Vacaciones,Cantidad de horas disponibles del mes,Horas extra disponibles
E_AG,T_MB,"",,,,,,204,0
E_CG,,,,,,,,204,0
E_YS,T_EC,,,,,"2,3,4,7,8,9,10,11,13,14,15,16,17,18,20",15,89,0
E_ZC,,,,,,,,204,0
E_NJ,,,,,,,,204,0
E_LV,T_CT,,,,,,,204,0
E_LR,,,,,,"25,26",2,188,0
E_JM,,,,,,,,204,0
E_AM,,,,,,,,204,0
E_NB,,,,"7,8,9,10",4,,,173,0
E_JR,,,,,,,,204,0
E_AQ,,"",,,,,,204,0
E_AD,,,,,,,,204,10
