Nombre,Nombre Tienda,Días,Hora Inicio punto,Hora Final punto,Horas Apertura por día,Inicio turno,Fin turno,Horas turno,Día del mes,Horas extra
E_AD,T_MB,LU,9,18,9,9,18,9,6,0
E_AG,T_MB,LU,9,18,9,9,18,9,13,0
E_AG,T_MB,LU,9,18,9,9,18,9,20,0
E_AM,T_MB,LU,9,18,9,9,18,9,27,0
E_AG,T_MB,MA,9,18,9,9,18,9,7,0
E_AM,T_MB,MA,9,18,9,9,18,9,14,0
E_AG,T_MB,MA,9,18,9,9,18,9,21,0
E_AG,T_MB,MA,9,18,9,9,18,9,28,0
E_AQ,T_MB,MI,9,18,9,9,18,9,1,0
E_AM,T_MB,MI,9,18,9,9,18,9,8,0
E_AG,T_MB,MI,9,18,9,9,18,9,15,0
E_AD,T_MB,MI,9,18,9,9,18,9,22,0
E_AG,T_MB,MI,9,18,9,9,18,9,29,0
E_AM,T_MB,JU,9,18,9,9,18,9,2,0
E_LR,T_MB,JU,9,18,9,9,18,9,9,0
E_AQ,T_MB,JU,9,18,9,9,18,9,16,0
E_AM,T_MB,JU,9,18,9,9,18,9,23,0
E_AM,T_MB,JU,9,18,9,9,18,9,30,0
E_AG,T_MB,VI,9,18,9,9,18,9,3,0
E_AG,T_MB,VI,9,18,9,9,18,9,10,0
E_AG,T_MB,VI,9,18,9,9,18,9,17,0
E_AD,T_MB,VI,9,18,9,9,18,9,24,0
E_AM,T_MB,VI,9,18,9,9,18,9,31,0
E_AG,T_MB,SA,9,18,9,9,18,9,4,0
E_AQ,T_MB,SA,9,18,9,9,18,9,11,0
E_AQ,T_MB,SA,9,18,9,9,18,9,18,0
E_AG,T_MB,SA,9,18,9,9,18,9,25,0
E_AG,T_MB,DO,9,18,9,9,18,9,5,0
E_AD,T_MB,DO,9,18,9,9,18,9,12,0
E_AD,T_MB,DO,9,18,9,9,18,9,19,0
E_AD,T_MB,DO,9,18,9,9,18,9,26,0
E_AD,T_EC,LU,7,20,13,7,15,8,13,0
E_AD,T_EC,LU,7,20,13,7,15,8,20,0
E_AQ,T_EC,LU,7,20,13,7,15,8,27,0
E_AQ,T_EC,MA,7,20,13,7,15,8,7,0
E_NJ,T_EC,MA,7,20,13,7,15,8,14,0
E_AD,T_EC,MA,7,20,13,7,15,8,21,0
E_AD,T_EC,MA,7,20,13,7,15,8,28,0
E_AQ,T_EC,MI,7,20,13,7,15,8,8,0
E_AQ,T_EC,MI,7,20,13,7,15,8,15,0
E_AQ,T_EC,MI,7,20,13,7,15,8,22,0
E_AD,T_EC,MI,7,20,13,7,15,8,29,0
E_AD,T_EC,JU,7,20,13,7,15,8,2,0
E_AD,T_EC,JU,7,20,13,7,15,8,9,0
E_AM,T_EC,JU,7,20,13,7,15,8,16,0
E_AQ,T_EC,JU,7,20,13,7,15,8,23,0
E_AQ,T_EC,JU,7,20,13,7,15,8,30,0
E_AM,T_EC,VI,7,20,13,7,15,8,3,0
E_AD,T_EC,VI,7,20,13,7,15,8,10,0
E_AD,T_EC,VI,7,20,13,7,15,8,17,0
E_AM,T_EC,VI,7,20,13,7,15,8,24,0
E_NJ,T_EC,VI,7,20,13,7,15,8,31,0
E_AM,T_EC,SA,7,20,13,7,15,8,4,0
E_AD,T_EC,SA,7,20,13,7,15,8,11,0
E_ZC,T_EC,SA,7,20,13,7,15,8,18,0
E_AD,T_EC,SA,7,20,13,7,15,8,25,0
E_AM,T_EC,LU,7,20,13,12,20,8,13,0
E_AQ,T_EC,LU,7,20,13,12,20,8,20,0
E_CG,T_EC,LU,7,20,13,12,20,8,27,0
E_AM,T_EC,MA,7,20,13,12,20,8,7,0
E_AD,T_EC,MA,7,20,13,12,20,8,14,0
E_AM,T_EC,MA,7,20,13,12,20,8,21,0
