Nombre,Horas turno,Cantidad de horas disponibles del mes,Productividad (%),Cantidad de tiendas asignadas,Lista de tiendas asignadas,Lista de días trabajados,Días trabajados,Días de descanso,Lista de días descanso,Días de vacaciones,Lista de días vacaciones,Días de incapacidad,Lista de días incapacidad
E_AG,198,204,97.05882352941177,1,['T_MB'],"[1, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 28, 30, 31]",22,9,"[2, 3, 5, 13, 16, 19, 20, 27, 29]",0,[],0,[]
E_AM,200,204,98.0392156862745,3,"['T_MB', 'T_EC', 'T_CT']","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30]",26,5,"[1, 17, 23, 25, 31]",0,[],0,[]
E_AQ,155,204,75.98039215686273,2,"['T_EC', 'T_CT']","[2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30]",21,10,"[1, 4, 9, 10, 11, 17, 18, 24, 25, 31]",0,[],0,[]
E_CG,201,204,98.52941176470588,2,"['T_EC', 'T_CT']","[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31]",25,6,"[7, 8, 13, 14, 28, 30]",0,[],0,[]
E_JM,204,204,100.0,2,"['T_EC', 'T_CT']","[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 30, 31]",27,4,"[2, 4, 22, 29]",0,[],0,[]
E_JR,204,204,100.0,1,['T_CT'],"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 28, 29, 30, 31]",27,4,"[1, 15, 21, 27]",0,[],0,[]
E_LR,188,188,100.0,2,"['T_MB', 'T_CT']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 21, 23, 24, 27, 28, 29, 30, 31]",24,5,"[12, 14, 16, 20, 22]",2,"[25, 26]",0,[]
E_LV,200,204,98.0392156862745,1,['T_CT'],"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 24, 25, 26, 28, 29, 31]",25,6,"[6, 20, 21, 23, 27, 30]",0,[],0,[]
E_NB,172,173,99.42196531791907,3,"['T_MB', 'T_EC', 'T_CT']","[1, 2, 3, 4, 5, 6, 11, 13, 14, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 29, 30, 31]",22,5,"[12, 15, 21, 24, 28]",0,[],4,"[7, 8, 9, 10]"
E_NJ,200,204,98.0392156862745,2,"['T_EC', 'T_CT']","[1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 25, 26, 27, 29, 31]",25,6,"[3, 6, 20, 23, 28, 30]",0,[],0,[]
E_YS,81,89,91.01123595505618,1,['T_EC'],"[12, 21, 22, 23, 25, 27, 28, 29, 30, 31]",10,6,"[1, 5, 6, 19, 24, 26]",15,"[2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 20]",0,[]
E_ZC,200,204,98.0392156862745,2,"['T_EC', 'T_CT']","[1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 30]",25,6,"[6, 11, 18, 22, 29, 31]",0,[],0,[]
